name,tables,rows,columns
UTube_v1,2,2735,10
SAP_v1,4,3841029,71
NCAA_v1,9,202305,333
airbnb-simplified,2,5751408,22
Atherosclerosis_v1,4,12781,307
rossmann,3,2035533,21
walmart,4,544869,24
AustralianFootball_v1,4,139179,193
Pyrimidine_v1,2,296,38
world_v1,3,5302,39
Accidents_v1,3,1463093,87
trains_v1,2,83,15
legalActs_v1,5,1754397,50
DCG_v1,2,8258,9
imdb_ijs_v1,7,5647694,50
SalesDB_v1,4,6735507,35
MuskSmall_v1,2,568,173
KRK_v1,1,1000,9
Chess_v1,2,2052,57
Telstra_v1,5,148021,23
mutagenesis_v1,3,10324,26
PremierLeague_v1,4,11308,250
census,1,32561,15
FNHK_v1,3,2113275,43
imdb_MovieLens_v1,7,1249411,58
financial_v1,8,1079680,84
ftp_v1,2,96491,13
Triazine_v1,2,1302,35
